"rank","country","crimeIndex","pop2022"
"1","Venezuela","83.7600","28301.6960"
"2","Papua New Guinea","80.7900","10142.6190"
"3","South Africa","76.8600","59893.8850"
"4","Afghanistan","76.3100","41128.7710"
"5","Honduras","74.5400","10432.8600"
"6","Trinidad And Tobago","71.6300","1531.0440"
"7","Guyana","68.7400","808.7260"
"8","El Salvador","67.7900","6336.3920"
"9","Brazil","67.4900","215313.4980"
"10","Jamaica","67.4200","2827.3770"
"11","Syria","67.1800","22125.2490"
"12","Peru","66.7200","34049.5880"
"13","Angola","66.4800","35588.9870"
"14","Cameroon","65.2400","27914.5360"
"15","Namibia","65.2100","2567.0120"
"16","Nigeria","64.0600","218541.2120"
"17","Bangladesh","63.9000","171186.3720"
"18","Argentina","63.8200","45510.3180"
"19","Puerto Rico","62.8400","3252.4070"
"20","Bahamas","62.0600","409.9840"
"21","Libya","61.7800","6812.3410"
"22","Dominican Republic","61.0200","11228.8210"
"23","Kenya","60.1400","54027.4870"
"24","Belarus","59.5800","9534.9540"
"25","Zimbabwe","59.3000","16320.5370"
"26","Guatemala","58.6700","17843.9080"
"27","Bolivia","57.7700","12224.1100"
"28","Fiji","57.6200","929.7660"
"29","Malaysia","57.2900","33938.2210"
"30","Colombia","56.8700","51874.0240"
"31","Kyrgyzstan","56.8700","6630.6230"
"32","Uganda","56.1200","47249.5850"
"33","Somalia","56.0400","17597.5110"
"34","Mongolia","56.0100","3398.3660"
"35","Tanzania","56","65497.7480"
"36","Maldives","55.3400","523.7870"
"37","Ecuador","55.2300","18001"
"38","Costa Rica","54.2200","5180.8290"
"39","Mexico","54.1900","127504.1250"
"40","Kazakhstan","53.7700","19397.9980"
"41","Chile","53.4200","19603.7330"
"42","Botswana","52.9800","2630.2960"
"43","Algeria","52.0300","44903.2250"
"44","France","51.9900","64626.6280"
"45","Uruguay","51.7300","3422.7940"
"46","Cambodia","51.1300","16767.8420"
"47","Belize","50.3900","405.2720"
"48","Iran","49.3800","88550.5700"
"49","Paraguay","49.3700","6780.7440"
"50","Ethiopia","49.3000","123379.9240"
"51","Mauritius","48.8800","1299.4690"
"52","Morocco","48.6600","37457.9710"
"53","Iraq","48.4200","44496.1220"
"54","Sweden","48","10549.3470"
"55","Nicaragua","47.8900","6948.3920"
"56","United States","47.8100","338289.8570"
"57","Ukraine","47.4200","39701.7390"
"58","Ghana","46.9800","33475.8700"
"59","Egypt","46.8300","110990.1030"
"60","Lebanon","46.7700","5489.7390"
"61","Myanmar","46.5100","54179.3060"
"62","Moldova","46.3500","3272.9960"
"63","Vietnam","46.1900","98186.8560"
"64","United Kingdom","46.0700","67508.9360"
"65","Indonesia","45.9300","275501.3390"
"66","Greece","45.8500","10384.9710"
"67","Ireland","45.5100","5023.1090"
"68","Panama","45.1500","4408.5810"
"69","Italy","44.8500","59037.4740"
"70","Belgium","44.5800","11655.9300"
"71","India","44.4300","1417173.1730"
"72","Palestine","43.7400","5250.0720"
"73","Tunisia","43.6900","12356.1170"
"74","Zambia","43.6200","20017.6750"
"75","Australia","43.0300","26177.4130"
"76","Bosnia And Herzegovina","42.9900","3233.5260"
"77","New Zealand","42.8800","5185.2880"
"78","Albania","42.5300","2842.3210"
"79","Pakistan","42.5100","235824.8620"
"80","Philippines","42.4600","115559.0090"
"81","Sudan","42.3400","46874.2040"
"82","Canada","41.8900","38454.3270"
"83","Sri Lanka","41.3900","21832.1430"
"84","Montenegro","41.1800","627.0820"
"85","Malta","40.3900","533.2860"
"86","Russia","39.9900","144713.3140"
"87","Jordan","39.9600","11285.8690"
"88","Turkey","39.6200","85341.2410"
"89","Thailand","39.3500","71697.0300"
"90","North Macedonia","39.1200","2093.5990"
"91","Latvia","38.7700","1850.6510"
"92","Bulgaria","38.2100","6781.9530"
"93","Serbia","38.1000","7221.3650"
"94","Nepal","36.0100","30547.5800"
"95","Germany","35.7900","83369.8430"
"96","Hungary","34.3600","9967.3080"
"97","Luxembourg","34.1300","647.5990"
"98","Norway","33.7200","5434.3190"
"99","Uzbekistan","33.4200","34627.6520"
"100","Kuwait","33.4200","4268.8730"
"101","Lithuania","33.4200","2750.0550"
"102","Spain","33.3200","47558.6300"
"103","Azerbaijan","32.0200","10358.0740"
"104","Israel","31.4700","9038.3090"
"105","Cyprus","31.2800","1251.4880"
"106","Poland","30.5000","39857.1450"
"107","Slovakia","30.3700","5643.4530"
"108","China","30.1400","1425887.3370"
"109","Portugal","29.9100","10270.8650"
"110","Brunei","29","449.0020"
"111","Cuba","28.3300","11212.1910"
"112","Romania","28.3000","19659.2670"
"113","Singapore","27.9600","5975.6890"
"114","Finland","27.5900","5540.7450"
"115","Netherlands","27.1600","17564.0140"
"116","South Korea","26.6800","51815.8100"
"117","Denmark","26.2200","5882.2610"
"118","Bahrain","25.6400","1472.2330"
"119","Austria","25.5400","8939.6170"
"120","Czech Republic","25.5200","10493.9860"
"121","Saudi Arabia","25.2300","36408.8200"
"122","Rwanda","24.8900","13776.6980"
"123","Croatia","24.5900","4030.3580"
"124","Iceland","23.7500","372.8990"
"125","Estonia","23.7100","1326.0620"
"126","Georgia","23.3800","3744.3850"
"127","Armenia","22.7900","2780.4690"
"128","Slovenia","22.2800","2119.8440"
"129","Japan","22.1900","123951.6920"
"130","Hong Kong","22","7488.8650"
"131","Switzerland","21.6200","8740.4720"
"132","Oman","20.3400","4576.2980"
"133","Isle Of Man","19.2500","84.5190"
"134","Taiwan","15.4600","23893.3940"
"135","United Arab Emirates","15.2300","9441.1290"
"136","Qatar","12.1300","2695.1220"
