country,pop
China,14258873370
India,14171731730
United States,3382898570
Indonesia,2755013390
Pakistan,2358248620
Nigeria,2185412120
Brazil,2153134980
Bangladesh,1711863720
Russia,1447133140
Mexico,1275041250
Japan,1239516920
Ethiopia,1233799240
Philippines,1155590090
Egypt,1109901030
DR Congo,990102120
Vietnam,981868560
Iran,885505700
Turkey,853412410
Germany,833698430
Thailand,716970300
United Kingdom,675089360
Tanzania,654977480
France,646266280
South Africa,598938850
Italy,590374740
Myanmar,541793060
Kenya,540274870
Colombia,518740240
South Korea,518158100
Spain,475586300
Uganda,472495850
Sudan,468742040
Argentina,455103180
Algeria,449032250
Iraq,444961220
Afghanistan,411287710
Poland,398571450
Ukraine,397017390
Canada,384543270
Morocco,374579710
Saudi Arabia,364088200
Angola,355889870
Uzbekistan,346276520
Peru,340495880
Malaysia,339382210
Yemen,336966140
Ghana,334758700
Mozambique,329695180
Nepal,305475800
Madagascar,296117140
Venezuela,283016960
Ivory Coast,281605420
Cameroon,279145360
Niger,262079770
Australia,261774130
North Korea,260694160
Taiwan,238933940
Burkina Faso,226737620
Mali,225935900
Syria,221252490
Sri Lanka,218321430
Malawi,204053170
Zambia,200176750
Romania,196592670
Chile,196037330
Kazakhstan,193979980
Ecuador,18001
Guatemala,178439080
Chad,177233150
Somalia,175975110
Netherlands,175640140
Senegal,173164490
Cambodia,167678420
Zimbabwe,163205370
Guinea,138593410
Rwanda,137766980
Benin,133528640
Burundi,128895760
Tunisia,123561170
Bolivia,122241100
Belgium,116559300
Haiti,115849960
Jordan,112858690
Dominican Republic,112288210
Cuba,112121910
South Sudan,109131640
Sweden,105493470
Czech Republic,104939860
Honduras,104328600
Greece,103849710
Azerbaijan,103580740
Portugal,102708650
Papua New Guinea,101426190
Hungary,99673080
Tajikistan,99527870
Belarus,95349540
United Arab Emirates,94411290
Israel,90383090
Austria,89396170
Togo,88486990
Switzerland,87404720
Sierra Leone,86057180
Laos,75294750
Hong Kong,74888650
Serbia,72213650
Nicaragua,69483920
Libya,68123410
Bulgaria,67819530
Paraguay,67807440
Kyrgyzstan,66306230
Turkmenistan,64307700
El Salvador,63363920
Singapore,59756890
Republic of the Congo,59704240
Denmark,58822610
Slovakia,56434530
Central African Republic,55791440
Finland,55407450
Lebanon,54897390
Norway,54343190
Liberia,53026810
Palestine,52500720
New Zealand,51852880
Costa Rica,51808290
Ireland,50231090
Mauritania,47361390
Oman,45762980
Panama,44085810
Kuwait,42688730
Croatia,40303580
Georgia,37443850
Eritrea,36840320
Uruguay,34227940
Mongolia,33983660
Moldova,32729960
Puerto Rico,32524070
Bosnia and Herzegovina,32335260
Albania,28423210
Jamaica,28273770
Armenia,27804690
Lithuania,27500550
Gambia,27059920
Qatar,26951220
Botswana,26302960
Namibia,25670120
Gabon,23889920
Lesotho,23058250
Slovenia,21198440
Guinea-Bissau,21055660
North Macedonia,20935990
Latvia,18506510
Equatorial Guinea,16749080
Trinidad and Tobago,15310440
Bahrain,14722330
Timor-Leste,13412960
Estonia,13260620
Mauritius,12994690
Cyprus,12514880
Eswatini,12016700
Djibouti,11208490
Reunion,9740520
Fiji,9297660
Comoros,8367740
Guyana,8087260
Bhutan,7824550
Solomon Islands,7242730
Macau,6951680
Luxembourg,6475990
Montenegro,6270820
Suriname,6180400
Cape Verde,5931490
Western Sahara,5759860
Malta,5332860
Maldives,5237870
Brunei,4490020
Bahamas,4099840
Belize,4052720
Guadeloupe,3957520
Iceland,3728990
Martinique,3675070
Vanuatu,3267400
Mayotte,3261010
French Polynesia,3062790
French Guiana,3045570
New Caledonia,2899500
Barbados,2816350
Sao Tome and Principe,2273800
Samoa,2223820
Curacao,1911630
Saint Lucia,1798570
Guam,1717740
Kiribati,1312320
Grenada,1254380
Micronesia,1141640
Jersey,1107780
Seychelles,1071180
Tonga,1068580
Aruba,1064450
Saint Vincent and the Grenadines,1039480
United States Virgin Islands,994650
Antigua and Barbuda,937630
Isle of Man,845190
Andorra,798240
Dominica,727370
Cayman Islands,687060
Bermuda,641840
Guernsey,633010
Greenland,564660
Faroe Islands,530900
Northern Mariana Islands,495510
Saint Kitts and Nevis,476570
Turks and Caicos Islands,457030
American Samoa,442730
Sint Maarten,441750
Marshall Islands,415690
Liechtenstein,393270
Monaco,364690
San Marino,336600
Gibraltar,326490
Saint Martin,317910
British Virgin Islands,313050
Palau,180550
Cook Islands,170110
Anguilla,158570
Nauru,126680
Wallis and Futuna,115720
Tuvalu,113120
Saint Barthelemy,109670
Saint Pierre and Miquelon,58620
Montserrat,43900
Falkland Islands,37800
Niue,19340
Tokelau,18710
Vatican City,05100
